Week,Day,Date,Time,Home,xG_H,Score,xG_A,Away,Attendance,Venue,Referee,Possession_H,Possession_A,PassCompleted_H,PassTotal_H,PassCompleted_A,PassTotal_A,ShotsTarget_H,ShotsTotal_H,ShotsTarget_A,ShotsTotal_A,SaveCompleted_H,SaveTotal_H,SaveCompleted_A,SaveTotal_A,Fouls_H,Fouls_A,Corners_H,Corners_A,Crosses_H,Crosses_A,Touches_H,Touches_A,Tackles_H,Tackles_A,Interceptions_H,Interceptions_A,Aerials_H,Aerial_A,Clearances_H,Clearances_A,Offsides_H,Offsides_A,Goal_Kicks_H,Goal_Kicks_A,Throw_Ins_H,Throw_Ins_A,Long_Balls_H,Long_Balls_A
1,Sat,2023-04-15,16:00,Palmeiras,3.0,2–1,1.0,Cuiabá,"35,835",Allianz Parque,Paulo Cesar Zanovelli da Silva,52%,48%,415,508,364,466,5,17,4,12,3,4,3,5,23,12,4,4,22,15,610,578,19,22,8,11,15,21,10,23,3,2,12,8,25,19,83,51
1,Sat,2023-04-15,16:00,América (MG),1.1,0–3,3.1,Fluminense,"6,653",Estádio Raimundo Sampaio,Braulio da Silva Machado,46%,54%,293,395,383,463,2,17,7,14,4,7,2,2,25,9,11,1,43,6,506,583,19,15,16,9,8,17,7,32,2,3,4,16,15,13,68,57
1,Sat,2023-04-15,18:30,Fortaleza,1.5,1–1,0.9,Internacional,"30,191",Estádio Castelão,Edina Alves Batista,48%,52%,348,455,398,502,6,24,6,11,5,6,5,6,18,13,5,1,27,9,564,626,17,19,12,15,19,16,14,25,0,2,6,11,24,17,67,36
1,Sat,2023-04-15,18:30,Botafogo (RJ),0.9,2–1,2.0,São Paulo,"11,708",Estádio Nilton Santos,Ramon Abatti Abel,33%,67%,253,335,592,682,3,12,8,16,7,8,1,3,20,13,3,7,15,18,444,781,9,15,17,6,11,11,19,13,2,1,7,6,19,10,55,71
1,Sat,2023-04-15,18:30,RB Bragantino,2.0,2–1,0.7,Bahia,"3,368",Estádio Nabi Abi Chedid,Maguielson Lima Barbosa,55%,45%,367,488,273,396,7,13,3,9,2,3,5,7,20,13,4,7,17,14,609,519,26,11,12,12,8,11,18,20,2,3,7,13,26,36,63,85
1,Sat,2023-04-15,18:30,Ath Paranaense,0.8,2–0,1.0,Goiás,"15,329",Estádio Joaquim Américo Guimarães,Rafael Rodrigo Klein,44%,56%,306,410,428,530,3,11,2,16,2,2,1,3,19,18,3,8,20,23,529,639,16,12,12,10,23,26,16,26,1,1,10,5,18,24,75,61
1,Sun,2023-04-16,16:00,Corinthians,1.5,2–1,0.5,Cruzeiro,"41,304",Neo Química Arena,Anderson Daronco,41%,59%,334,443,531,636,7,12,2,8,1,2,5,7,14,12,7,4,15,24,545,747,19,14,12,7,14,7,23,21,4,3,5,8,16,31,65,60
1,Sun,2023-04-16,16:00,Flamengo,1.4,3–0,0.4,Coritiba,"42,848",Estadio Jornalista Mário Filho,Rodrigo José Pereira de Lima,58%,42%,505,581,348,420,6,14,3,10,3,3,4,6,20,17,6,3,16,12,704,556,23,28,12,11,7,9,13,17,1,2,3,5,19,21,58,58
1,Sun,2023-04-16,18:30,Grêmio,1.6,1–0,1.2,Santos,"13,997",Estádio Alfredo Jaconi,Wilton Sampaio,45%,55%,327,433,417,530,6,16,4,16,4,4,5,6,12,16,4,11,11,31,576,662,28,25,11,12,15,13,19,15,1,1,13,7,16,25,60,62
1,Sat,2023-04-15,21:00,Atlético Mineiro,1.5,1–2,1.5,Vasco da Gama,"34,980",Estádio Governador Magalhães Pinto,Raphael Claus,74%,26%,562,676,155,242,10,26,3,7,1,3,9,10,15,10,14,3,46,12,794,401,20,27,6,12,16,12,10,36,2,2,3,10,23,15,54,68
2,Sat,2023-04-22,16:00,Fluminense,0.8,2–0,0.6,Ath Paranaense,"38,598",Estadio Jornalista Mário Filho,Paulo Cesar Zanovelli da Silva,62%,38%,520,617,293,374,4,14,1,10,1,1,2,4,13,20,10,6,26,16,714,489,14,15,5,15,17,13,14,26,3,1,6,7,23,15,51,64
2,Sat,2023-04-22,17:30 (18:30),Cuiabá,1.2,1–1,0.9,RB Bragantino,"9,267",Arena Pantanal,Caio Max Augusto Vieira,34%,66%,194,298,445,567,3,14,2,7,1,2,2,3,17,21,4,5,20,21,413,670,14,12,8,8,22,15,26,24,3,2,8,9,25,29,74,73
2,Sat,2023-04-22,18:30,São Paulo,2.4,3–0,1.1,América (MG),"41,006",Estádio do Morumbi,Wagner do Nascimento Magalhães,53%,47%,389,482,334,432,6,17,8,22,8,8,3,6,18,12,3,7,20,24,592,537,13,11,7,6,16,14,28,15,1,3,12,10,22,18,80,57
2,Sun,2023-04-23,11:00,Internacional,1.1,2–1,1.5,Flamengo,"45,751",Estádio José Pinheiro Borba,Ramon Abatti Abel,36%,64%,275,353,547,629,4,16,4,16,3,4,2,4,14,13,6,2,21,11,478,730,19,9,18,7,9,6,17,14,2,3,10,8,16,22,49,49
2,Sun,2023-04-23,16:00,Santos,0.8,0–0,1.2,Atlético Mineiro,"11,233",Estádio Urbano Caldeira,Braulio da Silva Machado,37%,63%,274,359,497,603,2,12,5,15,5,5,2,2,11,21,9,6,20,18,496,731,22,20,13,13,19,12,29,21,0,1,5,5,17,29,48,72
2,Sun,2023-04-23,16:00,Vasco da Gama,1.4,2–2,0.7,Palmeiras,"59,867",Estádio Club de Regatas Vasco da Gama,Rafael Rodrigo Klein,36%,64%,203,304,409,530,3,11,7,13,5,7,1,3,19,15,2,5,16,31,422,649,12,15,8,6,19,25,43,28,0,0,6,4,25,23,62,76
2,Sun,2023-04-23,18:30,Coritiba,0.7,0–3,2.6,Fortaleza,"24,423",Estádio Major Antônio Couto Pereira,Wilton Sampaio,58%,42%,452,544,294,391,7,18,9,16,6,9,7,7,9,10,3,7,14,20,671,503,23,27,10,14,12,7,23,14,2,2,10,7,24,20,65,80
2,Sun,2023-04-23,19:00,Goiás,1.2,3–1,0.5,Corinthians,"8,508",Estádio de Hailé Pinheiro,Bruno Arleu de Araujo,52%,48%,358,461,338,429,7,18,2,10,1,2,4,7,21,23,5,8,30,12,564,539,12,16,14,13,14,9,13,31,4,1,5,11,29,21,69,64
2,Sat,2023-04-22,21:00,Cruzeiro,1.5,1–0,0.8,Grêmio,"21,605",Estádio Raimundo Sampaio,Flavio Rodrigues de Souza,49%,51%,423,538,422,552,6,21,7,11,7,7,5,6,21,8,11,5,24,17,670,666,17,17,17,11,14,22,21,18,1,3,5,10,21,19,81,53
2,Mon,2023-04-24,20:00,Bahia,0.9,1–2,0.2,Botafogo (RJ),"27,822",Itaipava Arena Fonte Nova,Raphael Claus,58%,42%,475,582,313,415,5,13,3,5,1,3,4,5,18,9,6,3,21,13,698,552,20,24,13,15,11,14,16,31,0,5,6,7,20,28,59,60
3,Sat,2023-04-29,16:30,Fortaleza,5.3,4–2,1.5,Fluminense,"39,943",Estádio Castelão,Raphael Claus,31%,69%,209,285,569,643,17,20,3,12,1,3,13,17,8,15,8,5,14,22,408,766,29,13,10,4,13,14,21,18,2,1,6,3,12,19,52,29
3,Sat,2023-04-29,16:30,Coritiba,1.8,1–1,1.1,São Paulo,"25,210",Estádio Major Antônio Couto Pereira,Rafael Rodrigo Klein,33%,67%,231,328,574,660,5,16,6,23,5,6,4,5,14,12,7,6,22,12,449,790,23,19,16,11,13,13,20,22,2,2,8,8,15,27,68,53
3,Sat,2023-04-29,18:30,Santos,1.8,3–2,1.8,América (MG),"11,844",Estádio Urbano Caldeira,Anderson Daronco,44%,56%,233,331,317,428,5,11,8,19,6,8,3,5,19,16,2,6,17,25,456,543,17,16,10,8,19,23,31,17,0,1,11,4,17,29,57,54
3,Sat,2023-04-29,18:30,Palmeiras,1.4,2–1,0.5,Corinthians,"41,457",Allianz Parque,Wilton Sampaio,54%,46%,454,549,385,474,6,21,2,10,2,2,4,6,20,15,12,3,21,13,663,571,19,12,10,8,14,12,21,22,0,1,2,12,14,20,74,51
3,Sat,2023-04-29,18:30,RB Bragantino,1.5,0–3,2.0,Cruzeiro,"4,829",Estádio Nabi Abi Chedid,Braulio da Silva Machado,46%,54%,326,428,408,512,5,12,5,18,2,5,5,5,18,8,5,9,21,13,535,641,10,28,4,10,14,13,11,17,1,4,14,11,33,15,58,96
3,Sun,2023-04-30,16:00,Flamengo,3.1,2–3,1.9,Botafogo (RJ),"53,138",Estadio Jornalista Mário Filho,Edina Alves Batista,74%,26%,592,698,171,249,13,24,5,11,3,5,11,13,14,12,7,2,29,9,791,377,12,18,10,11,10,8,7,33,3,1,5,11,20,11,51,56
3,Sun,2023-04-30,17:30 (18:30),Cuiabá,1.2,1–2,1.7,Grêmio,"21,385",Arena Pantanal,Bruno Arleu de Araujo,50%,50%,368,473,367,465,4,15,6,12,4,6,3,4,16,12,7,5,39,13,559,571,13,10,9,9,18,21,19,33,2,2,7,8,15,17,54,53
3,Sun,2023-04-30,18:30,Internacional,0.9,1–0,0.8,Goiás,"29,193",Estádio José Pinheiro Borba,Rodrigo José Pereira de Lima,57%,43%,418,505,299,388,8,18,1,15,1,1,7,8,16,10,8,11,27,29,619,501,8,18,5,5,20,12,21,26,1,4,10,5,13,20,44,74
3,Sat,2023-04-29,21:00,Atlético Mineiro,2.0,2–1,0.6,Ath Paranaense,"15,037",Estádio Raimundo Sampaio,Ramon Abatti Abel,59%,41%,521,609,338,428,6,16,3,8,2,3,4,6,18,11,1,5,13,12,717,533,21,13,11,12,13,8,18,14,2,3,6,11,19,11,52,75
3,Mon,2023-05-01,20:00,Vasco da Gama,0.9,0–1,1.1,Bahia,"19,223",Estádio Club de Regatas Vasco da Gama,Flavio Rodrigues de Souza,56%,44%,382,497,292,398,6,15,6,12,5,6,6,6,19,19,7,6,28,18,583,515,11,9,10,13,18,17,14,35,5,0,7,14,26,17,79,60
4,Sat,2023-05-06,16:00,Cruzeiro,1.6,2–1,1.0,Santos,"21,191",Estádio Raimundo Sampaio,Bruno Arleu de Araujo,55%,45%,431,539,336,448,3,10,4,9,3,4,1,3,17,15,4,4,13,16,642,547,23,19,11,5,7,12,11,10,0,5,9,8,27,25,76,76
4,Sun,2023-05-07,11:00,América (MG),1.4,1–2,0.5,Cuiabá,"5,228",Estádio Raimundo Sampaio,Denis da Silva Ribeiro Serafim,46%,54%,346,448,412,533,4,15,5,9,4,5,3,4,19,12,4,6,17,28,571,647,8,29,10,7,19,17,23,16,5,2,6,7,12,20,51,75
4,Sun,2023-05-07,16:00,Bahia,1.5,3–1,0.4,Coritiba,"37,936",Itaipava Arena Fonte Nova,Bruno Mota Correia,50%,50%,357,457,354,458,5,15,4,10,3,4,3,5,28,24,3,5,15,14,572,570,22,22,13,8,18,9,13,10,1,2,3,7,14,25,57,64
4,Sun,2023-05-07,16:00,São Paulo,1.9,2–0,0.8,Internacional,"46,093",Estádio do Morumbi,Braulio da Silva Machado,42%,58%,328,406,463,551,3,6,3,15,3,3,1,3,16,9,4,9,8,23,524,652,19,16,7,10,8,7,31,12,2,3,4,3,20,37,54,59
4,Sun,2023-05-07,16:00,Ath Paranaense,1.0,2–1,1.5,Flamengo,"32,949",Estádio Joaquim Américo Guimarães,Raphael Claus,40%,60%,290,382,475,577,4,10,3,13,3,3,2,4,15,11,2,8,7,20,502,677,19,15,7,11,8,13,25,16,2,0,6,8,20,16,65,62
4,Sun,2023-05-07,18:30,Botafogo (RJ),2.0,2–0,0.5,Atlético Mineiro,"18,218",Estádio Nilton Santos,Flavio Rodrigues de Souza,39%,61%,305,383,486,588,7,22,1,9,1,1,5,7,14,8,5,9,19,20,513,697,22,17,13,9,17,5,36,19,0,4,7,12,18,23,58,59
4,Sun,2023-05-07,18:30,Grêmio,1.7,3–3,1.8,RB Bragantino,"23,760",Arena do Grêmio,Paulo Cesar Zanovelli da Silva,42%,58%,261,391,388,532,2,10,7,21,4,7,0,2,9,20,4,7,11,28,545,661,23,16,10,16,23,17,36,18,3,2,9,9,20,31,67,59
4,Sun,2023-05-07,18:30,Goiás,0.7,0–5,2.0,Palmeiras,"13,789",Estádio de Hailé Pinheiro,Wagner do Nascimento Magalhães,44%,57%,355,435,489,565,4,15,7,17,3,7,4,4,13,29,4,6,21,19,532,658,19,14,8,2,7,13,19,18,1,1,7,10,15,12,44,69
4,Sat,2023-05-06,21:00,Fluminense,1.8,1–1,0.7,Vasco da Gama,"39,850",Estadio Jornalista Mário Filho,Wilton Sampaio,78%,22%,691,801,128,221,9,23,1,8,0,1,8,9,12,19,9,1,39,8,895,350,11,21,4,13,15,13,6,39,1,1,6,16,26,15,44,66
4,Mon,2023-05-08,20:00,Corinthians,1.5,1–1,0.8,Fortaleza,"36,512",Neo Química Arena,Ramon Abatti Abel,49%,51%,445,533,468,545,8,21,2,16,1,2,7,8,6,9,5,5,17,15,650,667,13,18,8,11,9,10,19,23,3,2,10,11,23,12,60,46
5,Wed,2023-05-10,19:00,RB Bragantino,1.7,2–2,2.0,América (MG),"2,909",Estádio Nabi Abi Chedid,Rafael Rodrigo Klein,62%,38%,367,497,185,306,9,20,1,8,1,1,7,9,16,17,5,4,30,11,637,450,16,20,14,15,15,22,15,31,3,2,5,9,22,16,70,80
5,Wed,2023-05-10,19:00,Internacional,1.0,0–2,1.5,Ath Paranaense,"13,537",Estádio José Pinheiro Borba,Bruno Arleu de Araujo,47%,53%,394,483,455,554,3,12,5,14,3,5,3,3,11,10,4,3,23,13,608,673,17,14,5,9,14,16,29,20,2,2,5,15,31,23,50,70
5,Wed,2023-05-10,19:00 (20:00),Cuiabá,0.2,0–4,2.8,Atlético Mineiro,"12,029",Arena Pantanal,Wilton Sampaio,47%,53%,424,507,492,571,1,7,6,7,3,6,1,1,12,17,6,1,21,2,596,675,16,24,13,9,10,12,6,21,0,1,5,9,18,13,41,74
5,Wed,2023-05-10,19:00,Santos,2.0,3–0,1.3,Bahia,"7,262",Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,41%,59%,319,410,503,588,9,14,3,17,3,3,6,9,18,13,1,4,5,9,539,707,28,19,11,13,11,12,17,10,5,1,8,2,19,27,47,48
5,Wed,2023-05-10,20:00,Flamengo,2.6,2–0,0.7,Goiás,"44,948",Estadio Jornalista Mário Filho,Savio Pereira,57%,43%,515,596,365,453,4,22,6,14,6,6,3,4,22,9,8,7,26,22,729,595,20,23,4,9,13,11,25,32,1,1,6,10,15,18,44,66
5,Thu,2023-05-11,19:00,Coritiba,1.0,1–1,0.8,Vasco da Gama,"20,880",Estádio Major Antônio Couto Pereira,Ramon Abatti Abel,36%,64%,243,339,482,605,5,10,2,7,1,2,4,5,22,15,5,5,14,30,463,697,19,19,5,8,13,22,30,16,1,3,4,7,21,26,65,73
5,Thu,2023-05-11,19:30,Botafogo (RJ),2.6,3–0,0.6,Corinthians,"22,388",Estádio Nilton Santos,Anderson Daronco,53%,47%,563,636,483,561,5,15,4,12,4,4,3,5,12,5,3,3,13,13,740,651,10,20,11,7,10,8,17,11,0,0,7,6,13,16,53,43
5,Thu,2023-05-11,20:00,Fortaleza,0.8,0–0,0.8,São Paulo,"37,775",Estádio Castelão,Paulo Cesar Zanovelli da Silva,44%,56%,317,408,429,521,2,16,1,13,1,1,2,2,9,17,4,10,18,17,507,618,23,12,6,14,19,11,31,20,3,2,2,9,16,18,51,81
5,Wed,2023-05-10,21:30,Cruzeiro,2.1,0–2,1.2,Fluminense,"51,846",Estádio Governador Magalhães Pinto,Flavio de Souza,48%,52%,390,474,435,505,5,26,6,11,4,6,5,5,14,10,16,3,47,9,582,624,23,14,9,7,9,10,8,37,1,3,7,14,21,17,59,47
5,Wed,2023-05-10,21:30,Palmeiras,3.8,4–1,0.1,Grêmio,"37,532",Allianz Parque,Braulio da Silva Machado,59%,41%,528,614,344,430,9,27,2,3,1,2,6,9,10,13,7,4,24,8,717,515,8,10,10,12,14,9,14,20,2,0,6,15,23,12,82,46
6,Sat,2023-05-13,16:00,Bahia,1.4,2–3,2.2,Flamengo,"48,502",Itaipava Arena Fonte Nova,Paulo Cesar Zanovelli da Silva,52%,48%,373,459,355,430,6,20,3,13,1,3,4,6,16,13,10,4,29,14,555,545,16,14,4,7,9,16,16,30,0,5,10,14,18,13,47,57
6,Sat,2023-05-13,18:30,Palmeiras,1.6,1–1,1.0,RB Bragantino,"39,488",Allianz Parque,Savio Pereira,58%,42%,388,503,279,368,6,22,3,8,2,3,5,6,12,19,15,6,33,15,607,488,19,12,11,13,19,16,13,27,3,2,6,13,15,19,93,57
6,Sat,2023-05-13,18:30,Fluminense,0.9,2–0,0.9,Cuiabá,"39,040",Estadio Jornalista Mário Filho,Edina Alves Batista,61%,39%,585,676,350,429,2,7,2,13,2,2,0,2,14,10,7,3,15,18,780,551,22,20,9,10,12,6,18,12,0,4,10,9,13,15,46,52
6,Sun,2023-05-14,16:00,Vasco da Gama,1.7,0–1,0.6,Santos,"18,476",Estádio Club de Regatas Vasco da Gama,Rodrigo José Pereira de Lima,68%,32%,471,597,186,282,9,23,1,6,0,1,9,9,14,12,14,1,50,5,712,439,28,27,6,9,17,27,5,50,0,3,7,9,28,23,67,50
6,Sun,2023-05-14,16:00,Corinthians,0.9,1–1,0.9,São Paulo,"41,118",Neo Química Arena,Bruno Arleu de Araujo,34%,66%,296,388,647,738,2,6,1,7,0,1,2,2,16,18,5,4,19,20,504,834,23,14,9,10,7,19,25,25,0,2,3,5,23,19,51,42
6,Sun,2023-05-14,16:00,Grêmio,0.8,0–0,0.6,Fortaleza,"17,396",Arena do Grêmio,Bruno Mota Correia,57%,43%,441,563,316,428,6,17,4,14,4,4,6,6,22,22,9,5,22,17,686,562,20,11,13,9,12,12,17,29,1,1,9,12,20,16,67,74
6,Sun,2023-05-14,18:30,Ath Paranaense,2.9,3–2,0.4,Coritiba,"17,608",Estádio Joaquim Américo Guimarães,Flavio Rodrigues de Souza,64%,36%,538,659,237,363,7,26,3,7,1,3,4,7,9,12,4,1,28,10,774,483,16,21,10,15,28,22,6,27,1,1,5,15,30,23,87,83
6,Sun,2023-05-14,18:30,América (MG),1.3,0–4,2.6,Cruzeiro,"4,295",Estádio Raimundo Sampaio,Wilton Sampaio,48%,52%,323,433,365,472,2,15,8,16,4,8,2,2,10,17,5,6,27,23,536,586,17,16,7,17,23,16,19,23,5,3,8,10,15,17,64,77
6,Sun,2023-05-14,18:30,Goiás,1.9,2–1,1.5,Botafogo (RJ),"6,674",Estádio de Hailé Pinheiro,Rafael Rodrigo Klein,47%,53%,293,389,331,446,4,7,1,16,1,1,2,4,23,18,4,7,19,22,521,560,21,19,8,7,18,17,23,22,2,2,12,5,22,25,56,73
6,Sat,2023-05-13,21:00,Atlético Mineiro,2.0,2–0,0.3,Internacional,"36,080",Estádio Club de Regatas Vasco da Gama,Raphael Claus,54%,46%,427,544,350,467,4,14,4,6,4,4,2,4,14,8,3,3,10,13,653,581,17,22,3,9,19,16,16,15,0,2,9,9,17,21,82,57
7,Sat,2023-05-20,16:00,Bahia,2.3,1–1,0.9,Goiás,"32,519",Itaipava Arena Fonte Nova,Denis da Silva Ribeiro Serafim,50%,50%,381,481,374,472,4,23,5,13,4,5,3,4,19,13,4,6,28,11,617,597,27,13,14,12,11,6,16,25,1,6,7,13,20,24,61,56
7,Sat,2023-05-20,18:30,Botafogo (RJ),1.4,1–0,0.9,Fluminense,"24,732",Estádio Nilton Santos,Braulio da Silva Machado,35%,65%,242,315,498,575,7,21,0,3,0,0,6,7,24,14,7,4,21,13,427,670,19,17,9,4,15,11,17,18,2,1,3,6,19,14,64,44
7,Sat,2023-05-20,18:30,América (MG),0.8,2–1,1.2,Fortaleza,"2,488",Estádio Raimundo Sampaio,Luiz Flávio de Oliveira,28%,72%,209,308,687,797,3,9,5,16,4,5,1,3,14,8,1,2,4,27,435,892,18,14,10,7,13,17,31,14,0,1,8,5,18,23,61,70
7,Sat,2023-05-20,18:30,Coritiba,1.0,1–2,1.5,Atlético Mineiro,"20,047",Estádio Major Antônio Couto Pereira,Rodrigo José Pereira de Lima,35%,65%,228,312,502,591,3,9,7,18,6,7,3,3,20,17,5,7,12,25,428,721,19,23,8,9,15,14,28,11,2,1,7,6,19,17,64,61
7,Sat,2023-05-20,18:30,RB Bragantino,1.7,2–0,1.1,Ath Paranaense,"3,769",Estádio Nabi Abi Chedid,Felipe Fernandes de Lima,60%,40%,395,496,218,333,4,13,4,14,4,4,2,4,20,12,6,5,16,11,635,436,20,11,3,7,14,17,26,18,2,3,11,10,18,24,52,89
7,Sat,2023-05-20,18:30,São Paulo,2.3,4–2,1.1,Vasco da Gama,"57,399",Estádio do Morumbi,Leandro Pedro Vuaden,52%,48%,402,500,358,457,7,15,4,17,2,4,3,7,9,16,3,9,13,31,635,576,16,20,5,4,15,15,32,9,0,1,10,5,24,26,80,58
7,Sun,2023-05-21,16:00,Flamengo,0.6,1–0,1.2,Corinthians,"64,871",Estadio Jornalista Mário Filho,Rafael Rodrigo Klein,64%,36%,634,710,307,391,3,10,3,15,3,3,2,3,9,12,6,9,20,17,802,487,12,16,5,7,6,14,16,19,0,2,7,6,17,13,64,61
7,Sun,2023-05-21,18:30,Grêmio,1.7,3–1,1.5,Internacional,"39,438",Arena do Grêmio,Flavio Rodrigues de Souza,30%,70%,164,272,517,621,6,14,4,24,3,4,3,6,14,15,3,7,12,30,395,739,12,12,10,14,21,16,33,20,1,1,14,6,24,18,70,47
7,Sat,2023-05-20,21:00,Santos,0.4,0–0,0.4,Palmeiras,"12,641",Estádio Urbano Caldeira,Raphael Claus,39%,61%,265,380,495,607,4,12,1,11,1,1,4,4,15,11,3,4,13,17,504,724,20,12,9,12,15,11,26,9,0,3,10,9,21,28,51,70
7,Mon,2023-05-22,20:00,Cruzeiro,1.2,0–1,1.2,Cuiabá,"15,722",Estádio Joaquim Henrique Nogueirão,Savio Pereira,65%,35%,481,606,215,327,8,15,2,15,1,2,8,8,16,15,6,2,25,9,711,447,16,15,13,11,22,17,9,26,5,2,10,15,33,25,100,87
8,Sat,2023-05-27,16:00,Ath Paranaense,1.3,1–2,0.7,Grêmio,"25,966",Estádio Joaquim Américo Guimarães,Savio Pereira,66%,34%,498,604,208,313,4,16,4,10,2,4,3,4,14,15,10,5,31,13,722,435,14,10,9,5,26,24,19,39,1,2,6,16,28,14,91,66
8,Sat,2023-05-27,16:00,Fortaleza,1.5,2–0,0.7,Vasco da Gama,"37,625",Estádio Castelão,Edina Alves Batista,49%,51%,328,420,331,430,6,14,1,12,1,1,4,6,11,15,9,5,27,17,535,540,20,19,6,8,17,16,21,17,3,3,8,7,14,20,67,77
8,Sat,2023-05-27,17:30 (18:30),Cuiabá,0.7,1–1,1.0,Coritiba,"8,660",Arena Pantanal,Denis da Silva Ribeiro Serafim,43%,57%,328,439,463,575,3,9,2,8,1,2,2,3,8,13,2,6,21,15,555,695,16,14,11,8,27,10,16,24,0,3,11,7,24,34,75,75
